tiempo,paso,n_part
12.265026,0.02,50
12.284026,0.019,50
12.307026,0.023,50
12.326026,0.019,50
12.345026,0.019,50
12.366026,0.021,50
12.385026,0.019,50
12.407026,0.022,50
12.425026,0.018,50
12.446026,0.021,50
12.469026,0.023,50
12.488026,0.019,50
12.506025,0.018,50
12.528026,0.022,50
12.547026,0.019,50
12.566026,0.019,50
12.586026,0.02,50
12.606027,0.02,50
12.626027,0.02,50
12.645027,0.019,50
12.664027,0.019,2500
12.685027,0.021,2500
12.712028,0.027,2500
12.738028,0.026,2500
12.763027,0.025,2500
12.789027,0.026,2500
12.817027,0.028,2500
12.8440275,0.027,2500
12.871028,0.027,2500
12.898028,0.027,2500
12.925029,0.027,2500
12.952029,0.027,2500
12.983029,0.031,2500
13.01003,0.027,2500
13.03703,0.027,2500
13.064031,0.027,2500
13.091031,0.027,2500
13.1180315,0.027,2500
13.145032,0.027,2500
13.172032,0.027,2500
13.198032,0.026,2500
13.224032,0.026,2500
13.251033,0.027,2500
13.280033,0.029,2500
13.309033,0.029,2500
13.335033,0.026,2500
13.364034,0.029,2500
13.424034,0.06,2500
13.462034,0.038,2500
13.489035,0.027,2500
13.518035,0.029,2500
13.546035,0.028,0
13.578034,0.032,0
13.602035,0.024,0
13.619035,0.017,0
13.640035,0.021,0
13.661035,0.021,0
13.680035,0.019,0
13.701035,0.021,0
13.720035,0.019,0
13.739035,0.019,0
13.761035,0.022,0
13.782035,0.021,0
13.803035,0.021,0
13.823035,0.02,0
13.841035,0.018,0
13.860035,0.019,0
13.883035,0.023,0
13.901034,0.018,0
13.923035,0.022,0
13.940035,0.017,0
13.959035,0.019,0
13.980035,0.021,0
14.001035,0.021,0
14.021035,0.02,0
14.041036,0.02,0
14.060036,0.019,50
14.082036,0.022,50
14.099036,0.017,50
14.119037,0.02,50
14.140037,0.021,50
14.1610365,0.021,50
14.180037,0.019,50
14.202037,0.022,50
14.2200365,0.018,50
14.242037,0.022,50
14.262037,0.02,50
14.280037,0.018,50
14.301037,0.021,50
14.320037,0.019,50
14.340037,0.02,50
14.360038,0.02,50
14.381038,0.021,50
14.402038,0.021,50
14.420037,0.018,50
14.441037,0.021,50
14.462037,0.021,50
14.480037,0.018,50
14.500037,0.02,50
14.523037,0.023,50
14.540037,0.017,50
